handler,itemName,nbtInfo,modId,modRequired,excludedModId,priority,minVersion,maxVersion,forceClassName,itemNotes
crafting,minecraft:crafting_table,,minecraft,FALSE,terrafirmacraftplus,100,,,,
smelting,minecraft:furnace,,minecraft,FALSE,terrafirmacraftplus,100,,,,
codechicken.nei.recipe.BrewingRecipeHandler,minecraft:brewing_stand,,minecraft,FALSE,terrafirmacraftplus,100,,,,
codechicken.nei.recipe.FuelRecipeHandler,minecraft:furnace,,minecraft,FALSE,terrafirmacraftplus,100,,,,
crafting,terrafirmacraftplus:Workbench,,terrafirmacraftplus,TRUE,,100,,,,TFC workbench
advsolar.client.nei.MTRecipeHandler,AdvancedSolarPanel:BlockMolecularTransformer,,AdvancedSolarPanel,TRUE,,,,,,
crafting,appliedenergistics2:item.ItemMultiPart:360,,appliedenergistics2,TRUE,,,,,,
appeng.integration.modules.NEIHelpers.NEIGrinderRecipeHandler,appliedenergistics2:tile.BlockGrinder,,appliedenergistics2,TRUE,dreamcraft,,,,,
appeng.integration.modules.NEIHelpers.NEIInscriberRecipeHandler,appliedenergistics2:tile.BlockInscriber,,appliedenergistics2,TRUE,,,,,,
appeng.integration.modules.NEIHelpers.NEIInscriberRecipeHandler,ae2stuff:Inscriber,,ae2stuff,TRUE,,,,,,
fox.spiteful.avaritia.compat.nei.CompressionHandler,Avaritia:Neutronium_Compressor,,Avaritia,TRUE,,,,,,
extreme,Avaritia:Dire_Crafting,,Avaritia,TRUE,,,,,,
extreme,avaritiaddons:ExtremeAutoCrafter,,avaritiaddons,TRUE,,,,,,
WayofTime.alchemicalWizardry.client.nei.NEIAlchemyRecipeHandler,AWWayofTime:blockWritingTable,,AWWayofTime,TRUE,,,,,,
WayofTime.alchemicalWizardry.client.nei.NEIAltarRecipeHandler,AWWayofTime:Altar,,AWWayofTime,TRUE,,,,,,
crafting,BuildCraft|Factory:autoWorkbenchBlock,,BuildCraft|Factory,TRUE,,,,,,
buildcraft.compat.nei.RecipeHandlerRefinery,BuildCraft|Factory:refineryBlock,,BuildCraft|Factory,TRUE,,,,,,
buildcraft.compat.nei.RecipeHandlerAssemblyTable,BuildCraft|Silicon:laserTableBlock,,BuildCraft|Silicon,TRUE,,,,,,
buildcraft.compat.nei.RecipeHandlerIntegrationTable,BuildCraft|Silicon:laserTableBlock:2,,BuildCraft|Silicon,TRUE,,,,,,
team.chisel.compat.nei.RecipeHandlerChisel,chisel:chisel,,chisel,TRUE,,,,,,
team.chisel.compat.nei.RecipeHandlerChisel,chisel:diamondChisel,,chisel,TRUE,,,,,,
team.chisel.compat.nei.RecipeHandlerChisel,chisel:obsidianChisel,,chisel,TRUE,,,,,,
team.chisel.compat.nei.RecipeHandlerChisel,chisel:netherStarChisel,,chisel,TRUE,,,,,,
team.chisel.compat.nei.RecipeHandlerChisel,chisel:autoChisel,,chisel,TRUE,,,,,,
crafting,EnderIO:blockCrafter,,EnderIO,TRUE,,,,,,
crafting,EnderIO:blockInventoryPanel,,EnderIO,TRUE,,,,,,
smelting,EnderIO:blockAlloySmelter,,EnderIO,TRUE,,,,,,
crazypants.enderio.nei.AlloySmelterRecipeHandler,EnderIO:blockAlloySmelter,,EnderIO,TRUE,,,,,,
crazypants.enderio.nei.EnchanterRecipeHandler,EnderIO:blockEnchanter,,EnderIO,TRUE,,,,,,
crazypants.enderio.nei.SagMillRecipeHandler,EnderIO:blockSagMill,,EnderIO,TRUE,,,,,,
crazypants.enderio.nei.SliceAndSpliceRecipeHandler,EnderIO:blockSliceAndSplice,,EnderIO,TRUE,,,,,,
crazypants.enderio.nei.SoulBinderRecipeHandler,EnderIO:blockSoulBinder,,EnderIO,TRUE,,,,,,
crazypants.enderio.nei.VatRecipeHandler,EnderIO:blockVat,,EnderIO,TRUE,,,,,,
com.rwtema.extrautils.nei.EnderConstructorHandler,ExtraUtilities:endConstructor,,ExtraUtilities,TRUE,,,,,,
com.rwtema.extrautils.nei.EnderConstructorHandler,ExtraUtilities:endConstructor:2,,ExtraUtilities,TRUE,,,,,,
crafting,Forestry:factory2:2,,Forestry,TRUE,,10,,,,
forestry.factory.recipes.nei.NEIHandlerBottler,Forestry:factory,,Forestry,TRUE,,,,,,
forestry.factory.recipes.nei.NEIHandlerCarpenter,Forestry:factory:1,,Forestry,TRUE,,,,,,
forestry.factory.recipes.nei.NEIHandlerCentrifuge,Forestry:factory:2,,Forestry,TRUE,,,,,,
forestry.factory.recipes.nei.NEIHandlerFabricator,Forestry:factory2,,Forestry,TRUE,,,,,,
forestry.factory.recipes.nei.NEIHandlerFermenter,Forestry:factory:3,,Forestry,TRUE,,,,,,
forestry.factory.recipes.nei.NEIHandlerMoistener,Forestry:factory:4,,Forestry,TRUE,,,,,,
forestry.factory.recipes.nei.NEIHandlerSqueezer,Forestry:factory:5,,Forestry,TRUE,,,,,,
forestry.factory.recipes.nei.NEIHandlerStill,Forestry:factory:6,,Forestry,TRUE,,,,,,
galaxyspace.core.nei.rocket.RocketT1RecipeHandler,GalacticraftCore:tile.rocketWorkbench,,GalacticraftCore,TRUE,,,,,,
micdoodle8.mods.galacticraft.core.nei.BuggyRecipeHandler,GalacticraftCore:tile.rocketWorkbench,,GalacticraftCore,TRUE,,,,,,
micdoodle8.mods.galacticraft.core.nei.BuggyRecipeHandler,GalacticraftCore:item.schematic:0,,GalacticraftCore,TRUE,,,,,,
micdoodle8.mods.galacticraft.core.nei.CircuitFabricatorRecipeHandler,GalacticraftCore:tile.machine2:4,,GalacticraftCore,TRUE,,,,,,
micdoodle8.mods.galacticraft.core.nei.ElectricIngotCompressorRecipeHandler,GalacticraftCore:tile.machine2,,GalacticraftCore,TRUE,,,,,,not in GTNH
micdoodle8.mods.galacticraft.core.nei.IngotCompressorRecipeHandler,GalacticraftCore:tile.machine:12,,GalacticraftCore,TRUE,,,,,,not in GTNH
micdoodle8.mods.galacticraft.core.nei.RefineryRecipeHandler,GalacticraftCore:tile.refinery,,GalacticraftCore,TRUE,,,,,,
micdoodle8.mods.galacticraft.planets.asteroids.nei.AstroMinerRecipeHandler,GalacticraftCore:tile.rocketWorkbench,,GalacticraftCore,TRUE,,,,,,
micdoodle8.mods.galacticraft.planets.asteroids.nei.AstroMinerRecipeHandler,GalacticraftMars:item.schematic:2,,GalacticraftCore,TRUE,,,,,,
micdoodle8.mods.galacticraft.planets.mars.nei.CargoRocketRecipeHandler,GalacticraftCore:tile.rocketWorkbench,,GalacticraftCore,TRUE,,,,,,
micdoodle8.mods.galacticraft.planets.mars.nei.CargoRocketRecipeHandler,GalacticraftMars:item.schematic:1,,GalacticraftCore,TRUE,,,,,,
micdoodle8.mods.galacticraft.planets.mars.nei.GasLiquefierRecipeHandler,GalacticraftMars:tile.marsMachineT2,,GalacticraftCore,TRUE,,,,,,not in GTNH
micdoodle8.mods.galacticraft.planets.mars.nei.MethaneSynthesizerRecipeHandler,GalacticraftMars:tile.marsMachineT2:4,,GalacticraftCore,TRUE,,,,,,not in GTNH
galaxyspace.core.nei.rocket.RocketT2RecipeHandler,GalacticraftCore:tile.rocketWorkbench,,GalacticraftMars,TRUE,,,,,,
galaxyspace.core.nei.rocket.RocketT2RecipeHandler,GalacticraftCore:item.schematic:1,,GalacticraftMars,TRUE,,,,,,
galaxyspace.core.nei.rocket.RocketT3RecipeHandler,GalacticraftCore:tile.rocketWorkbench,,GalacticraftMars,TRUE,,,,,,
